NAME,PRICE,VEGAN,VEGETARIAN,GLUTEN,LACTOSE,DINE-IN,TAKE-OUT,DELIVERY,UNDER-10,10 TO 20,OVER-20
Grecos Grill,$$$,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE
Tango Nuevo,$$,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
Toast and Jam,$$,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
Ali Baba Kabab,$,FALSE,TRUE,FALSE,TRUE,FALSE ,TRUE,TRUE,TRUE,FALSE,FALSE
Sima Sushi,$$,TRUE,TRUE,TRUE,TRUE,FALSE ,TRUE,FALSE,FALSE,TRUE,FALSE
The WORKS,$$$,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE
Wooden Heads Gourmet Pizza,$$,TRUE,TRUE,FALSE,FALSE,FALSE ,TRUE,FALSE,FALSE,TRUE,FALSE
Chez Piggy Restaurant and Bar,$$$,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
AquaTerra Restaurant,$$$,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE
Jack Astor's Bar and Grill,$$,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE
Kingston Brewing Company,$$$,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
Mekong Restaurant,$$,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
Geneva Crepe Cafe & Bistro,$$,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE
McDonald's ,$,FALSE,FALSE,FALSE,FALSE,FALSE ,TRUE,TRUE,TRUE,FALSE,FALSE
Lone Star Texas Grill,$$$,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
Flavours of India,$,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE